GRASA C/P,Ajonjolí,4,cucharadita,10,10,61,2.7,5.7,1.0,0.8,2.2,2.5,0.0,3.9
GRASA C/P,Ajonjolí tostado,5    ,cucharada,13,13,75,2.2,6.3,3.4,0.9,2.4,2.8,0.0,5.1
GRASA C/P,Almendra,10    ,pieza,12,12,66,2.7,6.6,0.5,0.5,4.3,1.3,0.0,0.5
GRASA C/P,Almendra acaramelada,6,pieza,12,12,72,2.2,6.0,3.4,0.4,3.3,1.5,0.0,15.9
GRASA C/P,Alemndra ahumada,10,pieza,12,12,71,2.6,6.4,2.1,0.0,0.0,0.0,0.0,73.7
GRASA C/P,Almendra deshidratada,10    ,pieza,12,12,71,2.4,6.3,2.4,0.6,4.1,1.3,0.0,1.3
GRASA C/P,Almendra fileteada,2,cucharada,12,12,72,2.5,6.5,2.2,0.5,4.3,1.4,0.0,0.0
GRASA C/P,Almendra picada,4    ,cucharadita,10,10,62,2.1,5.2,1.8,0.4,0.0,1.2,0.0,0.0
GRASA C/P,Almendra tostada,10,cucharada,12,12,71,2.0,6.3,3.0,0.6,4.1,1.3,0.0,1.3
GRASA C/P,Avellana,9    ,pieza,13,13,72,2.5,6.5,2.3,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Avellana picada,5,cucharadita,12,12,71,2.4,6.4,2.3,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Avellana salada,8    ,pieza,11,11,72,1.8,7.1,1.6,0.0,0.0,0.0,0.0,15.6
GRASA C/P,Avellana tostada,8    ,pieza,11,11,75,1.1,7.5,2.0,0.6,5.9,0.7,0.0,0.4
GRASA C/P,Cacahuate,14    ,pieza,12,12,73,2.9,6.2,2.7,0.9,3.1,1.9,0.0,100.6
GRASA C/P,Cacahuate acaramelado,5    ,cucharadita,14,14,75,3.0,6.5,2.5,1.0,3.5,2.0,0.0,57.8
GRASA C/P,Cacahucate cocido,20    ,g,20,20,64,2.7,4.4,4.3,0.6,2.2,1.4,0.0,150.0
GRASA C/P,Cacahuate con cáscara,12    ,g,12,12,70,2.8,6.0,0.2,0.8,1.9,1.7,0.0,0.6
GRASA C/P,Cacahuate con pepitas,12    ,g,12,12,75,2.8,6.0,2.4,0.8,2.8,2.4,0.0,144.0
GRASA C/P,Cacahuate con piel,15    ,pieza,14,14,72,3.4,6.3,2.9,1.4,2.9,1.9,0.0,50.6
GRASA C/P,Cacahuate enchilado,13    ,pieza,12,12,67,2.9,5.9,2.1,0.8,2.9,1.7,0.0,79.4
GRASA C/P,Cacahuate japonés,15    ,pieza,14,14,68,2.7,3.6,6.3,0.0,0.0,0.0,0.0,270.0
GRASA C/P,Cacahuate picado,5,cucharadita,12,12,74,3.0,6.2,2.7,0.9,3.1,1.9,0.0,101.9
GRASA C/P,Cacahuate salado,13,pieza,12,12,71,3.2,5.5,2.4,1,2.9,1.6,0.0,34.0
GRASA C/P,Cacahuate tostado,13    ,pieza,12,12,69,2.8,5.9,2.5,0.8,2.9,1.8,0.0,96.1
GRASA C/P,Cacahuates confitados, 1/4,bolsa,14,14,72,1.4,4.3,7.1,1.5,0,0.6,0.7,36.7
GRASA C/P,Cacahuates cubiertos con salsa y limón,2,cucharada,13,13,72,2.6,4.6,5.3,0.0,0.0,0.0,0.0,124.7
GRASA C/P,Cacoa con cáscara,14,g,14,14,70,1.9,5.9,3.3,3.4,2.4,0.1,0.0,0.5
GRASA C/P,Cacoa pataste,12,g,12,12,72,2.1,6.5,2.6,3.6,2.5,0.1,0.0,0.5
GRASA C/P,Cacao sin cáscara,12,g,12,12,67,1.9,5.9,2.5,3.2,2.3,0.1,0.0,0.5
GRASA C/P,Chía,7,cucharada,49,49,69,3.5,5.9,1.9,1.2,0.9,3.5,0.0,12.3
GRASA C/P,Chilorio,30,g,30,30,64,5.0,4.7,0.7,0.7,0.0,0.0,17.1,203.1
GRASA C/P,Chilorio de pavo,30,g,30,30,64,5,4.7,0.7,0.7,0.0,0.0,17.1,203.1
GRASA C/P,Chistorra,15,g,15,15,73,1.7,7.0,0.7,0.0,0.0,0.0,25.5,156.8
GRASA C/P,Chorizo,15,g,15,15,64,3.5,5.6,0.0,2.1,2.4,0.4,16.2,11.5
GRASA C/P,Chorizo de pollo,35,g,35,35,72,5.0,5.7,0.1,0.0,0.0,0.0,5.3,302.4
GRASA C/P,Chorizo vegetariano,15,g,15,15,70,4.1,5.7,0.2,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Coroso,14,g,14,14,72,0.8,7.5,1.6,0.0,0.0,0.0,0.0,0.0
GRASA C/P,"Falafel, hecho en casa",20,g,20,20,67,2.7,3.5,6.4,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Harina de ajonjolí,13,g,13,13,69,4.0,4.9,3.5,0.7,1.9,2.1,0.0,5.6
GRASA C/P,Harina de almendras,11,g,11,11,66,2.2,5.7,2.5,0.6,3.7,1.2,0.0,0.8
GRASA C/P,Harina de cacahuate,15,g,15,15,65,5.1,3.3,4.8,0.5,1.7,1.1,0.0,0.0
GRASA C/P,Hot nuts, 1/4,paquete,13,13,68,2.1,4.2,5.3,0.8,ND,ND,ND,133.5
GRASA C/P,"Hummus, de garbanzo (1 cda)",20,g,20,20,67,2.7,3.5,6.4,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Jamón serrano,15,g,15,15,70,2.4,3.9,6.7,1.5,ND,ND,ND,3257.0
GRASA C/P,Cacahuate sabritas  japonés,15,g,15,15,74,2.4,4.2,6.6,0.0,0.0,0.0,0.0,69.0
GRASA C/P,Cacahuate sabritas  salados,10,g,10,10,60,2,5.2,1.2,0.0,0.0,0.0,0.0,60.0
GRASA C/P,Mafer tostados sazonados,12,g,12,12,66,2.7,5.4,1.7,0.0,0.0,0.0,0.0,76.8
GRASA C/P,Mantequilla de cacachuate,2,cucharadita,11,11,63,2.6,5.3,2.3,1.0,2.5,1.5,0.0,52.0
GRASA C/P,Mazapán Azteca Oreo,0.5,pieza,15,15,75,1.5,3.5,9.5,0.5,0.0,0.0,0.0,9.0
GRASA C/P,Mazapán sin azúcar,1,pieza,25,25,73,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
GRASA C/P,Nueces mixtas,1,cucharada,12,12,74,2.0,6.8,2.6,1.0,3.8,1.6,0.0,78.2
GRASA C/P,Nuez,3,pieza,9,9,67,0.9,7.0,1.3,0.6,4.2,1.9,0.0,0.1
GRASA C/P,Nuez acaramelada, 3/4,taza,12,12,64,1.7,5.6,3.0,1.3,3.0,1.3,0.0,38.6
GRASA C/P,Nuez de castilla,3,pieza,9,9,67,0.9,7.0,1.3,0.6,4.2,1.9,0.0,0.1
GRASA C/P,Nuez de la india caramelizada,12,g,12,12,64,1.7,5.6,3.0,1.3,3.0,1.3,0.0,38.6
GRASA C/P,Nuez de la india con almendras,12,g,12,12,73,2.1,6.4,2.6,0.9,3.9,1.7,0.0,40.7
GRASA C/P,Nuez de la india sin sal,7,pieza,11,11,66,1.9,5.2,2.7,1.0,3.2,1.0,0.0,32.0
