GRASA S/P,Salsa holandesa industrializada, 1/2,cucharada,8,8,44,0.9,3.7,2.6,2.2,1.1,0.2,9.4,292.0
GRASA S/P,Salsa tártara industrializada,1,cucharadita,16,16,52,0.0,5.2,2.1,2.1,0.0,0.0,5.2,93.0
GRASA S/P,Salsa tártara sin grasa,4,cucharada,62,62,48,0.0,2.0,9.7,0.8,0.0,0.0,0.0,406.9
GRASA S/P,Salsa velouté,1 1/2,cucharada,21,21,38,0.6,3.4,1.1,0.0,0.0,0.0,8.6,98.3
GRASA S/P,Tocino,1,rebanada delgada,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
GRASA S/P,Tocino ahumado,1,rebanada delgada,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
GRASA S/P,Tocino en lonja,8,g,8,8,44,0.7,4.6,0.0,1.7,2.0,0.5,5.4,54.8
GRASA S/P,Tocino frito,1,rebanada   ,7,7,39,0.6,4.0,0.0,0.0,0.0,0.0,5.7,48.0
GRASA S/P,Tocino imitación,1,cucharada,10,10,41,1.0,3.9,0.1,0.0,0.0,0.0,6.7,96.7
GRASA S/P,Vinagreta, 1/2,cucharada,8,8,36,0.0,4.0,0.2,0.8,1.2,2.0,0.0,0.0
GRASA S/P,Vinagreta baja en calorías,5,cucharada,80,80,38,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1000.0
GRASA S/P,Vinagreta comercial,1 1/2,,23,23,46,0.0,3.8,3.0,0.8,0.0,0.0,0.0,187.5
